Genome,vOTU ID,ClusterStatus,VCStatus,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,clstr,clstr_size,length,clstr_rep,clstr_iden,clstr_cov,Phylum,Class,Order,Family,Genus,ICTV_Phylum,ICTV_Class,ICTV_Order,ICTV_Family,ICTV_Genus,SampleID,SampleName,Cyanobacterial Order,Cyanobacterial Family,Cyanobacterial Genus,Cyanobacterial Speices,Strain,BioProject,SRA Accession No.,JGI IMGD No.,Reported Habitat,Habitat,Substrate,Location
TC19_k99_38087_fragment_10,vOTU173,Unclustered,Unclustered,17093,No,NA,19,0,5,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,394,1,17093,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC19_k99_38087_fragment_9,vOTU174,Clustered,1468_0,51656,No,NA,92,14,2,Medium-quality,Genome-fragment,78.43,HMM-based (lower-bound),0,1,NA,55,1,51656,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC23_NODE_136_length_91462_cov_3.281042_fragment_3,vOTU295,Unclustered,Unclustered,27352,Yes,22592,31,10,2,Low-quality,Genome-fragment,36.52,HMM-based (lower-bound),17.4,1,NA,310,1,22592,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC23,Lyngbya sp. HA4199-MV5,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya sp.,HA4199-MV5,PRJNA621654,SRR11676618,3300034630,Tropical soil,Tropics,soil,"Hawaii, USA"
TC14_NODE_188_length_55975_cov_1.464636_fragment_1,vOTU88,Clustered,727_0,17537,No,NA,23,5,0,Low-quality,Genome-fragment,40.71,AAI-based (medium-confidence),0,1,NA,385,1,17537,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC14,Drouetiella hepatica UHER 2000/2452,Pseudanabaenales,Oculatellaceae,Drouetiella,Drouetiella hepatica,UHER 2000/2452,PRJNA617097,SRR12347860,3300036391,Rock surface,Rock,rock wall,"Kosice, Slovakia"
TC22_k99_9685,vOTU292,Unclustered,Unclustered,6725,No,NA,7,1,0,Low-quality,Genome-fragment,10.06,HMM-based (lower-bound),0,1,NA,659,1,6725,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC38_NODE_107_length_35249_cov_5.870366_fragment_2,vOTU478,Unclustered,Unclustered,16971,No,NA,26,0,4,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,399,1,16971,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC38,Scytolyngbya sp. HA4215-MV1,Pseudanabaenales,Leptolyngbyaceae,Scytolyngbya,Scytolyngbya sp.,HA4215-MV1,PRJNA617105,SRR12349737,3300036104,Freshwater stream,Aquatic,water,"Hawaii, USA"
TC44_NODE_32_length_460431_cov_28.341613_fragment_8,vOTU571,Unclustered,Unclustered,45862,Yes,26128,57,18,11,Low-quality,Genome-fragment,35.91,HMM-based (lower-bound),43.03,1,NA,271,1,26128,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC44,Tildeniella nuda ZEHNDER 1965/U140,Pseudanabaenales,Oculatellaceae,Tildeniella,Tildeniella nuda,ZEHNDER 1965/U140,PRJNA621657,SRR11676687,3300035002,Temperate wet wall,Temperate,rock wall,"Zurich, Switzerland"
TC9_NODE_2794_length_5245_cov_4.210825,vOTU688,Unclustered,Unclustered,5245,No,NA,5,0,1,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,702,1,5245,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC46_NODE_8_length_546078_cov_19.002079_fragment_3,vOTU599,Clustered,727_0,12533,No,NA,19,4,1,Low-quality,Genome-fragment,28.4,AAI-based (medium-confidence),0,1,NA,508,1,12533,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC46,Timaviella obliquedivisa GSE-PSE-MK23-08B,Pseudanabaenales,Oculatellaceae,Timaviella,Timaviella obliquedivisa,GSE-PSE-MK23-08B,PRJNA621673,SRR11678220,3300035018,Desert wet wall,Desert,rock wall,"Utah, USA"
TC39_NODE_245_length_50334_cov_108.036987_fragment_1,vOTU497,Clustered,1160_0,25533,Yes,19946,47,5,3,Medium-quality,Genome-fragment,51.47,AAI-based (medium-confidence),21.88,1,NA,352,1,19946,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC39,Scytonema hyalinum WJT4-NPBG1,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,WJT4-NPBG1,PRJNA617106,SRR12349874,3300036520,Desert soil,Desert,soil,"California, USA"
TC9_NODE_2886_length_5069_cov_56.532578,vOTU690,Unclustered,Unclustered,5069,Yes,1034,7,1,2,Low-quality,Genome-fragment,0.27,HMM-based (lower-bound),79.6,1,NA,725,1,1034,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC9_NODE_132_length_115497_cov_69.713790_fragment_1,vOTU677,Clustered,946_0,50804,No,NA,81,34,1,High-quality,High-quality,95.72,AAI-based (medium-confidence),0,1,NA,60,4,50804,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC47_NODE_256_length_7105_cov_1.087991,vOTU601,Unclustered,Unclustered,7105,No,NA,9,5,0,Low-quality,Genome-fragment,13.38,AAI-based (medium-confidence),0,1,NA,648,1,7105,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC47,Tolypothrix brevis GSE-NOS-MK-07-07A,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix brevis,GSE-NOS-MK-07-07A,PRJNA621662,SRR11678125,3300035007,Desert wet wall,Desert,rock wall,"Utah, USA"
TC2_NODE_28_length_574127_cov_141.062979_fragment_4,vOTU197,Unclustered,Unclustered,17761,Yes,14270,22,9,3,Low-quality,Genome-fragment,22.89,AAI-based (medium-confidence),19.66,1,NA,465,1,14270,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC30_NODE_166_length_38633_cov_1.834208_fragment_1,vOTU395,Clustered,1453_0,20636,No,NA,35,6,1,Low-quality,Genome-fragment,29.16,HMM-based (lower-bound),0,1,NA,337,1,20636,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC30,Nostoc indistinguendum CM1-VF10,Nostocales,Nostocaceae,Nostoc,Nostoc indistinguendum,CM1-VF10,PRJNA621666,SRR11678133,3300035011,Desert soil,Desert,soil,"California, USA"
TC27_NODE_5_length_948412_cov_34.736842_fragment_11,vOTU348,Unclustered,Unclustered,13125,No,NA,8,0,4,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,487,1,13125,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC27,Myxacorys chilensis ATA2-1-KO14,Pseudanabaenales,Leptolyngbyaceae,Myxacorys,Myxacorys chilensis,ATA2-1-KO14,PRJNA621667,SRR11678144,3300035012,Desert soil,Desert,soil,"Coquimbo, Chile"
TC32_NODE_62_length_383417_cov_7.033069_fragment_8,vOTU437,Clustered,1483_0,35667,Yes,13092,48,3,10,Low-quality,Genome-fragment,19.28,HMM-based (lower-bound),63.29,1,NA,489,3,13092,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC32_NODE_62_length_383417_cov_7.033069_fragment_2,vOTU436,Unclustered,Unclustered,35211,No,NA,37,7,4,Low-quality,Genome-fragment,30.79,HMM-based (lower-bound),0,1,NA,203,3,35211,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC2_NODE_67_length_335913_cov_14.129618_fragment_8,vOTU206,Clustered,1468_0,28614,No,NA,31,5,1,Medium-quality,Genome-fragment,68.57,AAI-based (medium-confidence),0,1,NA,259,1,28614,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC25_k99_949,vOTU338,Unclustered,Unclustered,6500,No,NA,8,5,0,Low-quality,Genome-fragment,7.81,HMM-based (lower-bound),0,1,NA,664,1,6500,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC11_NODE_982_length_12261_cov_1.458958,vOTU60,Unclustered,Unclustered,12261,No,NA,15,5,1,Low-quality,Genome-fragment,24.79,AAI-based (high-confidence),0,1,NA,519,1,12261,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC14_NODE_794_length_12156_cov_1.263613,vOTU95,Unclustered,Unclustered,12156,No,NA,21,4,1,Low-quality,Genome-fragment,17.97,HMM-based (lower-bound),0,1,NA,523,1,12156,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC14,Drouetiella hepatica UHER 2000/2452,Pseudanabaenales,Oculatellaceae,Drouetiella,Drouetiella hepatica,UHER 2000/2452,PRJNA617097,SRR12347860,3300036391,Rock surface,Rock,rock wall,"Kosice, Slovakia"
TC4_NODE_35_length_71548_cov_19.897915_fragment_1,vOTU514,Clustered,27_0,47915,No,NA,53,17,4,High-quality,High-quality,100,AAI-based (medium-confidence),0,1,NA,72,1,47915,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC4,Aphanothece saxicola GSE-SYN-MK-01-06B,Chroococcales,Aphanothecaceae,Aphanothece,Aphanothece saxicola,GSE-SYN-MK-01-06B,PRJNA621658,SRR11676827,3300035003,Desert wet wall,Desert,rock wall,"Utah, USA"
TC11_NODE_6_length_890872_cov_11.620703_fragment_2,vOTU51,Unclustered,Unclustered,9781,No,NA,10,4,0,Low-quality,Genome-fragment,24.67,AAI-based (medium-confidence),0,1,NA,582,1,9781,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC11_NODE_6_length_890872_cov_11.620703_fragment_3,vOTU52,Clustered,362_0,42126,No,NA,56,28,1,High-quality,High-quality,94.06,AAI-based (medium-confidence),0,1,NA,118,1,42126,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC21_NODE_352_length_25851_cov_4.020487,vOTU251,Unclustered,Unclustered,25851,No,NA,30,10,0,Low-quality,Genome-fragment,38.74,HMM-based (lower-bound),0,1,NA,274,1,25851,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC6_NODE_57_length_172417_cov_20.278443_fragment_2,vOTU723,Clustered,934_0,95487,No,NA,128,26,2,High-quality,High-quality,100,AAI-based (medium-confidence),0,1.97,high kmer_freq may indicate large duplication; contig >1.5x longer than expected genome length; low-confidence DTR,5,1,95487,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC6,Brasilonema angustatum HA4187-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,CMT-3BRIN-NPC111,PRJNA617095,SRR12347719,3300036389,Tropical soil,Tropics,soil,"Hawaii, USA"
TC6_NODE_57_length_172417_cov_20.278443_fragment_1,vOTU647,Unclustered,Unclustered,9917,No,NA,7,0,1,Low-quality,Genome-fragment,6.45,AAI-based (medium-confidence),0,1,no viral genes detected,577,1,9917,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC6,Brasilonema angustatum HA4187-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,CMT-3BRIN-NPC111,PRJNA617095,SRR12347719,3300036389,Tropical soil,Tropics,soil,"Hawaii, USA"
TC46_NODE_25_length_217657_cov_11.547033_fragment_1,vOTU593,Unclustered,Unclustered,48068,No,NA,68,18,3,High-quality,High-quality,100,AAI-based (medium-confidence),0,1,NA,71,1,48068,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC46,Timaviella obliquedivisa GSE-PSE-MK23-08B,Pseudanabaenales,Oculatellaceae,Timaviella,Timaviella obliquedivisa,GSE-PSE-MK23-08B,PRJNA621673,SRR11678220,3300035018,Desert wet wall,Desert,rock wall,"Utah, USA"
TC12_NODE_57_length_191730_cov_277.144977_fragment_1,vOTU72,Clustered,1452_0,10229,No,NA,16,5,0,Low-quality,Genome-fragment,10.9,HMM-based (lower-bound),0,1,NA,569,1,10229,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC12,Desmonostoc geniculatum HA4340-LM1,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum,HA4340-LM1,PRJNA621655,SRR11676647,3300035000,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC6_NODE_25_length_324279_cov_99.614125_fragment_3,vOTU75,Unclustered,Unclustered,44048,No,NA,50,26,0,High-quality,High-quality,100,AAI-based (high-confidence),0,1,NA,90,3,44048,0,100.00%,97%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC6,Brasilonema angustatum HA4187-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,CMT-3BRIN-NPC111,PRJNA617095,SRR12347719,3300036389,Tropical soil,Tropics,soil,"Hawaii, USA"
TC21_NODE_30_length_280467_cov_3.679974_fragment_3,vOTU662,Unclustered,Unclustered,83257,No,NA,88,25,4,High-quality,High-quality,91.66,HMM-based (lower-bound),0,1,NA,11,2,83257,0,100.00%,99%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC23_NODE_85_length_158508_cov_121.493317_fragment_2,vOTU304,Clustered,318_0,85818,Yes,66063,116,11,11,Medium-quality,Genome-fragment,78.4,HMM-based (lower-bound),23.02,1,NA,22,1,66063,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC23,Lyngbya sp. HA4199-MV5,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya sp.,HA4199-MV5,PRJNA621654,SRR11676618,3300034630,Tropical soil,Tropics,soil,"Hawaii, USA"
TC10_NODE_57_length_114557_cov_165.914100_fragment_3,vOTU33,Clustered,1446_0,5173,No,NA,8,1,0,Low-quality,Genome-fragment,3.34,HMM-based (lower-bound),0,1,NA,706,1,5173,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC10,Cyanomargarita calcarea GSE-NOS-MK-12-04C,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea,GSE-NOS-MK-12-04C,PRJNA621661,SRR11676926,3300035006,Desert wet wall,Desert,rock wall,"Utah, USA"
TC21_NODE_1169_length_6803_cov_3.292540,vOTU229,Unclustered,Unclustered,6803,No,NA,10,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,656,1,6803,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC43_NODE_250_length_24450_cov_17.771040,vOTU546,Clustered,1480_0,24450,No,NA,24,1,6,Low-quality,Genome-fragment,36.58,HMM-based (lower-bound),0,1.03,NA,286,1,24450,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
TC33_NODE_6_length_1192258_cov_18.151574_fragment_1,vOTU448,Unclustered,Unclustered,17001,No,NA,23,11,0,Low-quality,Genome-fragment,22.56,HMM-based (lower-bound),0,1,NA,398,1,17001,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC33,Pegethrix bostrychoides GSE-TBD4-15B,Pseudanabaenales,Oculatellaceae,Pegethrix,Pegethrix bostrychoides,GSE-TBD4-15B,PRJNA617102,SRR12349533,3300036394,Desert wet wall,Desert,rock wall,"Utah, USA"
TC39_NODE_732_length_11396_cov_34.803443,vOTU507,Unclustered,Unclustered,11396,No,NA,20,3,0,Low-quality,Genome-fragment,18.91,HMM-based (lower-bound),0,1.01,low-confidence DTR,542,1,11396,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC39,Scytonema hyalinum WJT4-NPBG1,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,WJT4-NPBG1,PRJNA617106,SRR12349874,3300036520,Desert soil,Desert,soil,"California, USA"
TC19_k99_8536_fragment_2,vOTU178,Clustered,1470_0,10908,No,NA,9,0,3,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,549,1,10908,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC28_NODE_27_length_255358_cov_193.026031_fragment_1,vOTU350,Clustered,1343_1,124551,No,NA,197,25,1,Medium-quality,Genome-fragment,85.24,HMM-based (lower-bound),0,1,NA,1,1,124551,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC28,Nodosilinea sp. WJT8-NPBG4,Pseudanabaenales,Prochlorotrichaceae,Nodosilinea,Nodosilinea sp.,WJT8-NPBG4,PRJNA621656,SRR11676645,3300035001,Desert soil,Desert,soil,"California, USA"
TC15_NODE_1359_length_7288_cov_1.000000,vOTU100,Unclustered,Unclustered,7288,No,NA,7,5,0,Low-quality,Genome-fragment,9.53,HMM-based (lower-bound),0,1,NA,642,1,7288,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC15,Gloeocapsa sp. UFS-A4-WI-NPMV-4B04,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa sp.,UFS-A4-WI-NPMV-4B04,PRJNA617098,SRR12347921,3300036443,Desert soil,Desert,soil,"Utah, USA"
TC21_NODE_1220_length_6608_cov_1.950779,vOTU230,Unclustered,Unclustered,6608,No,NA,9,1,0,Low-quality,Genome-fragment,3.69,HMM-based (lower-bound),0,1,NA,662,1,6608,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC22_k99_11530,vOTU275,Clustered,714_0,5126,No,NA,9,3,0,Low-quality,Genome-fragment,6.73,HMM-based (lower-bound),0,1,NA,709,1,5126,1,100,100%,Mixed,Mixed,Mixed,Mixed,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC43_NODE_58_length_231948_cov_2.108183_fragment_1,vOTU553,Clustered,727_0,17025,No,NA,17,4,0,Low-quality,Genome-fragment,26.02,HMM-based (lower-bound),0,1,NA,396,1,17025,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
TC43_NODE_58_length_231948_cov_2.108183_fragment_2,vOTU554,Unclustered,Unclustered,10349,No,NA,8,0,0,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,561,1,10349,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
